city_name,city_id
炉霍,56158
威海,54774
大庆,50850
杭锦后旗,53420
单县,58011
建昌,54452
密山,50985
莱阳,54852
元氏,53791
寻乌,59102
资溪,58713
尉犁,51655
新都,56290
耀县,57037
烟台,54765
毕节,57707
井冈山,57894
拜城,51633
永泰,58932
日喀则,55578
关岭,57903
班戈,55279
苏尼特左旗,53195
宜川,53857
沂源,54836
马龙,56782
杭州,58457
孝义,53768
沅陵,57655
乌什,51627
小金,56178
新宾,54353
永川,57506
田林,59017
突泉,50934
榆中,52983
察哈尔右翼前旗,53481
巧家,56673
杂多,56018
昌吉,51368
法库,54245
阿鲁科尔沁旗,54122
东山,59321
昌黎,54540
兴海,52943
固镇,58128
高淳,58339
沛县,58013
桑日,55599
塔城,51133
广平,53899
思南,57731
湘乡,57772
济南,54823
锡林浩特,54102
加查,56307
旬邑,53938
石棉,56378
眉山,56391
陆川,59457
范县,54903
楚雄,56768
城步,57857
汪清,54195
建平,54326
运城,53959
铜川,53947
雅布赖,52575
玉溪,56875
凉城,53475
双阳,54165
巴青,56114
理塘,56257
东方,59838
若羌,51777
彬县,57023
遵化,54429
濮阳,54900
崇庆,56181
长岭,54049
方城,57179
浦口,58237
华池,53930
唐县,53692
南丰,58718
五大连池,50655
驻马店市,57290
云县,56854
武穴,58501
容城,54503
木兰,50962
句容,58344
海伦,50756
门源,52765
綦江,57612
如东,58264
五台山,53588
肥西,58320
和龙,54286
宁陵,58008
定日,55664
肇州,50950
吉安,57799
德兴,58622
江津,57517
新源,51436
睢宁,58130
商水县,57198
夷陵,57453
钟祥,57378
化州,59655
怀宁,58416
海淀,54399
新蔡县,57293
土默特右旗,53455
礼县,57007
稻城,56357
大兴,54594
华县,57049
涟源,57762
灯塔,54348
盐亭,57308
江山,58632
通化县,54362
万载,57698
大城,54613
前郭,50949
长子,53873
阆中,57306
武宁,58507
绩溪,58438
许昌,57089
沈阳,54342
武汉,57494
崇阳,57586
襄阳,57278
太华山,56872
徐闻,59754
乳源,59081
张家港,58353
尼玛,55361
通州,54431
新巴尔虎右旗,50603
普宁,59314
静海,54619
筠连,56498
淮南,58224
弋阳,58624
壤塘,56164
安多,55294
汾阳,53769
恩平,59477
北流,59451
奈曼旗,54223
桃江,57666
梅州,591170
凯里,57825
张家川,57012
南沙,59997
兰西,50859
大方,57708
洪江,57754
乐清,58656
嘉黎,56202
玉山,58634
文成,58750
黔江,57536
五寨,53663
华坪,56664
威宁,56691
德清,58454
云和,58742
新龙,56251
开封市,57091
彭县,56189
灵璧,58125
榕江,57932
金秀,59057
临江,54374
舍伯吐,54039
富源,56790
肥城,54819
平利,57248
西平县,57188
方正,50964
海安,58254
勐腊,56969
舞钢,57177
宁乡,57678
南宫,54705
深州,54608
崇义,57990
高陵,57040
托克逊,51571
朝阳,54324
铜梁,57510
百色,59211
兴宁,59109
基隆,58964
宽城,54432
那仁宝力格,53083
兖州,54916
延长,53854
五华,59303
长顺,57818
南宁,59431
登封市,57082
思茅,56964
彭山,56289
枝江,57466
静乐,53666
东莞,59289
特克斯,51438
西安,57036
盐城,58154
河池,59023
福泉,57821
石泉,57232
镇原,53925
深圳,59493
嵩明,56785
甘谷,57001
绥德,53754
平武,56193
泸西,56886
伊通,54164
聂拉木,55655
勉县,57119
通江,57320
古县,53874
奉节,57348
博爱县,53979
衡南,57875
梅河口,54266
库车,51644
双湖,55178
将乐,58821
三亚,59948
嵊泗,58472
大丰,58158
瓜州,52424
德惠,54065
涠洲,59647
桓仁,54365
福安,58748
新林,50349
高青,54729
孪井滩,53505
东岗,54284
帕里,55773
无为,58329
文登,54777
永登,52885
朗县,56308
沁源,53875
宣威,56697
鞍山,54339
延安,53845
郧县,57253
长宁,56593
屯留,53879
石屏,56970
汤阴县,53991
凤冈,57723
方山,53760
陇川,56835
东营,54736
湖州,58450
攸县,57779
陵县,54715
黄山市,58531
杭锦旗,53533
武胜,57417
武鸣,59237
沙湾,51357
成都,56294
彭水,57537
公主岭,54156
剑阁,57208
象山,58566
富顺,56399
巩留,51435
纳雍,57800
代县,53579
根河,50431
郯城,58034
永寿,57030
吉木萨尔,51378
泾川,53926
宝兴,56273
广元,57206
南雄,57996
赣榆,58040
仁化,57989
大柴旦,52713
临西,54801
高阳,54603
二道,54285
隆德,53914
仙居,58652
龙陵,56841
兴国,58804
玉田,54522
界首,58108
彝良,56594
沾化,54730
平定,53687
阳泉,53782
九龙,56462
上犹,57991
滨海,58049
葫芦岛,54453
丹凤,57153
永康,58643
礼泉,57029
响水,58045
泾源,53916
科尔沁左翼中旗,54047
化隆,52877
乐山,56386
西峡,57156
台儿庄,58025
大新,59421
普安,56792
阳信,54723
临夏,52984
类乌齐,56128
科尔沁左翼后旗,54231
余杭,58444
安远,58907
兴安,57955
天门,57483
桂阳,57973
兴化,58243
册亨,57909
灌云,58047
沧州,54616
兰州,52889
岱山,58484
吴桥,54717
祁门,58520
紫云,57910
通海,56878
呼中,50247
平远,59106
铁岭,54249
岚皋,57247
江门,594760
盘州,56793
会同,57842
苏尼特右旗,53272
宿州,58122
安龙,57908
慈溪,58467
武清,54523
固始,58208
金寨,58306
师宗,56883
桃园,58965
辉县市,53985
准格尔旗,53553
浠水,58404
滦平,54420
镇远,57738
浩尔吐,54024
玛沁,56043
甘泉,53848
兴和,53483
罗田,58401
开阳,57719
嘉峪关,52532
偃师市,57076
阳城,53975
福山,54764
上杭,58918
凌海,54330
木里,56459
吉林,54172
惠农,53519
左贡,56331
南县,57574
峨山,56898
华容,57575
玛多,56033
湖口,58510
广灵,53590
凤阳,58222
青县,54615
